D,layer_type,K,hidden_size,N,epochs,lr,dtype,B,final_loss,decay_width,decay_width_error
5,pwl_layer,64,16,5000,6000,3e-05,float64,5000000,0.46364790243741655,0.16334725914271828,0.00023300418612707982
5,pwq_layer,64,16,5000,6000,3e-05,float64,5000000,0.06326850553742959,0.1557621102849405,8.87554246887665e-05
5,pwq_layer,64,16,5000,6500,3e-05,float64,5000000,0.054198490455367336,0.15249697404836846,7.410918988695686e-05
5,pwq_layer,32,16,5000,6500,3e-05,float64,1000000,0.07784280607993756,0.14001519100322346,0.00023702558721494122
5,pwq_layer,64,16,8000,6500,3e-05,float64,1000000,0.03456669818125977,0.1406698454914129,0.00012477632401270878
5,pwl_layer,64,16,5000,6500,2e-05,float64,1000000,0.09052277405159082,0.1634659257100627,0.00028448690069953506
5,pwl_layer,64,16,5000,600,2e-05,float64,1000000,0.16847796952761915,0.16404935397275408,0.00032268196264199954
5,pwl_layer,64,16,8000,6500,2e-05,float64,1000000,0.10213999121743242,0.1634915723268577,0.00022980282230457638
5,pwq_layer,64,16,8000,6500,3e-05,float64,1000000,0.038548585770119374,0.16368899156054206,0.0001475739203714804
5,pwq_layer,64,16,8000,6500,2.5e-05,float64,1000000,0.06547615922781062,0.1635532870596594,0.00019769338590748046
5,pwq_layer,64,16,8000,6500,3e-05,float64,1000000,0.042844161129580983,0.16376352106328654,0.0001579699440716507
5,pwq_layer,64,16,8000,6500,3e-05,float64,1000000,0.05467265171250024,0.1635617576863708,0.00017854247014861393
5,pwl_layer,64,16,5000,6500,2e-05,float64,1000000,0.0928130462839859,0.16375887062034777,0.00025398251100508025
5,pwl_layer,256,16,5000,6000,3e-05,float64,1000000,0.06800924862127627,0.1640880721772935,0.00026950680608120014
5,pwq_layer,128,66,8000,6000,3e-05,float64,1000000,0.03819914269323955,0.163655407339085,0.00015004159245100536
5,pwq_layer,64,34,8000,6000,3e-05,float64,1000000,0.03279128911147016,0.16383344822798374,0.00013402393913564356
5,pwq_layer,128,66,8000,6000,3e-05,float64,1000000,0.02780743899154605,0.16373265377099966,0.0001251237100233553
5,pwq_layer,128,66,8000,6000,3e-05,float64,1000000,0.029849243947367758,0.16376076084222246,0.00012183895873932494
5,pwq_layer,128,66,8000,6000,3e-05,float64,1000000,0.005906065806162811,0.1637272027151109,6.010091527431711e-05
